,k5,k12,Interlimb,BodyWidth,PelvicWidth,PelvicHeight,HeadWidth,SnoutEye,EyeDiameter,HeadDepth,TailWidth,TailLength,UpperArm,LowerArm,Hand,UpperLeg,LowerLeg,Foot,Neck,PosSkull,Size,Genus,Genus_species
Tympanocryptis_houstoni,4,6,1.099008767,0.513388888,-0.4503949,-0.30512169,0.23824269,-1.419222966,-1.038766663,-0.145261935,-0.574298994,2.153835072,-0.115691864,-0.214598329,-0.150248647,0.111051125,0.208656768,0.425823462,-0.052834972,-0.283565813,2.298849713,Tympanocryptis_houstoni,Tympanocryptis_houstoni
Tympanocryptis_lineata,4,6,1.052406432,0.474551208,-0.485731803,-0.295184857,0.270374812,-1.453094403,-1.083101405,-0.066492586,-0.713678831,2.222785797,-0.065570785,-0.190365445,-0.09676483,0.161251495,0.190917242,0.490881,-0.125696453,-0.287486589,2.162360965,Tympanocryptis_lineata,Tympanocryptis_lineata
Tympanocryptis_macra,4,6,1.049536646,0.410800977,-0.501287155,-0.271848684,0.166474235,-1.404170935,-1.068888466,-0.156004893,-0.736921016,2.165177524,-0.029387277,-0.108515753,-0.115865725,0.183510004,0.249346443,0.423786298,0.060976366,-0.316718587,2.43498012,Tympanocryptis_macra,Tympanocryptis_macra
Tympanocryptis_pentalineata,4,6,1.022884501,0.501404932,-0.449850181,-0.327940249,0.256501864,-1.419697017,-1.104878403,-0.159105319,-0.804482223,2.18833034,-0.11162663,-0.173272479,-0.069370844,0.17342732,0.246563642,0.44419076,0.046640051,-0.259720063,2.260186036,Tympanocryptis_pentalineata,Tympanocryptis_pentalineata
Tympanocryptis_petersi,4,6,1.146937802,0.540609413,-0.518334088,-0.275471759,0.240706071,-1.445063969,-1.10991536,-0.132818228,-0.734325513,2.175153246,-0.068851121,-0.19450802,-0.127845155,0.202525709,0.20815452,0.409496401,-0.064185482,-0.252264466,2.215172191,Tympanocryptis_petersi,Tympanocryptis_petersi
Tympanocryptis_rustica,4,6,1.135840557,0.518762245,-0.449739627,-0.313850222,0.300366953,-1.438086484,-1.045240765,-0.101107359,-0.654252856,2.168304872,-0.098812201,-0.205906349,-0.144786526,0.075183488,0.168547852,0.35221377,-0.017183618,-0.250253731,2.264890049,Tympanocryptis_rustica,Tympanocryptis_rustica
Tympanocryptis_tetraporophora,4,6,1.067347753,0.469355067,-0.467727673,-0.310421014,0.224667345,-1.643111976,-0.991526451,-0.15532679,-0.681250626,2.180950255,-0.061189027,-0.119964501,-0.085516899,0.20928576,0.266353204,0.438501874,-0.011105334,-0.329320966,2.362344527,Tympanocryptis_tetraporophora,Tympanocryptis_tetraporophora
Ctenophorus_badius,5,7,0.970712442,0.182479944,-0.608453687,-0.333580573,0.052358113,-1.561785691,-1.092371858,-0.33220031,-0.348890545,2.599453106,-0.097264493,-0.245073997,-0.112649412,0.23467967,0.42181487,0.706735183,-0.084263226,-0.351699535,2.313201779,Ctenophorus_badius,Ctenophorus_badius
Ctenophorus_dualis,5,7,0.995530581,0.464534891,-0.533830021,-0.288647388,0.074693618,-1.414433024,-1.251496819,-0.303102842,-0.413052627,2.458436044,-0.251177879,-0.228484796,-0.167650219,0.189816158,0.379133382,0.676317452,0.009137822,-0.395724332,2.511377255,Ctenophorus_dualis,Ctenophorus_dualis
Ctenophorus_femoralis,5,7,1.024740919,0.23219173,-0.574673642,-0.521778781,0.005714593,-1.47703688,-1.178437668,-0.40362044,-0.444598795,2.6627294,-0.12820846,-0.234836002,-0.161226229,0.36502747,0.522453425,0.852834445,-0.024130819,-0.517144267,2.30011523,Ctenophorus_femoralis,Ctenophorus_femoralis
Ctenophorus_fordi,5,7,1.000444646,0.134857122,-0.489671089,-0.420154794,0.087491176,-1.501817525,-1.117789031,-0.318831722,-0.471940895,2.511717062,-0.170107392,-0.256110777,-0.078984037,0.289341524,0.481788489,0.819910891,-0.056099743,-0.444043904,2.23538662,Ctenophorus_fordi,Ctenophorus_fordi
Ctenophorus_graafi,5,7,0.958859035,0.225109697,-0.553740022,-0.363895592,0.112677684,-1.743786516,-1.185996101,-0.250643386,-0.532922616,2.445223273,-0.120193936,-0.149786303,-0.081715781,0.349258881,0.448342358,0.730514446,0.057501876,-0.344806996,2.598201844,Ctenophorus_graafi,Ctenophorus_graafi
Ctenophorus_griseus,5,7,0.983346701,0.192706866,-0.561478641,-0.334860939,0.057532088,-1.399807831,-1.256478703,-0.245417457,-0.45849043,2.525820826,-0.130788287,-0.274444687,-0.128864748,0.293669008,0.399485969,0.69839917,0.061114181,-0.421443085,2.471391448,Ctenophorus_griseus,Ctenophorus_griseus
Ctenophorus_infans,5,7,0.884323698,0.321429449,-0.567184111,-0.376382381,0.184083145,-1.529439784,-1.179972078,-0.273092582,-0.50502754,2.338539406,-0.167910973,-0.307937501,-0.089621673,0.344431788,0.46356146,0.723834363,0.056014421,-0.319649107,2.553687657,Ctenophorus_infans,Ctenophorus_infans
Ctenophorus_isolepis_citrinus,5,7,0.950169774,0.15375936,-0.506883969,-0.316405443,0.143228683,-1.293159623,-1.223710235,-0.235321766,-0.440494587,2.335737126,-0.230576798,-0.268567499,-0.041375607,0.228270152,0.349289033,0.66442381,0.144042684,-0.412425094,2.36474324,Ctenophorus_isolepis_citrinus,Ctenophorus_isolepis_citrinus
Ctenophorus_isolepis_gularis,5,7,0.969820473,0.226883663,-0.56193582,-0.289508961,0.049473991,-1.661345239,-1.273579708,-0.312216288,-0.36642146,2.4613031,-0.162598345,-0.234611732,-0.144064587,0.329670268,0.52626388,0.774741342,0.018296932,-0.350171508,2.398509305,Ctenophorus_isolepis_gularis,Ctenophorus_isolepis_gularis
Ctenophorus_isolepis_isolepis,5,7,1.014306635,0.145568908,-0.690816734,-0.309026315,0.070552308,-1.502159918,-1.205227086,-0.283426698,-0.41790045,2.580342811,-0.174227406,-0.215973473,-0.1712761,0.294235628,0.465030425,0.758285708,-0.004297581,-0.353990662,2.491701111,Ctenophorus_isolepis_isolepis,Ctenophorus_isolepis_isolepis
Ctenophorus_maculatus,5,7,0.993184115,0.112913448,-0.604595473,-0.384662991,0.044113956,-1.413985569,-1.124919413,-0.297074508,-0.499913363,2.635025452,-0.162014366,-0.293003026,-0.117476512,0.252780026,0.43758346,0.71444398,0.141969746,-0.434368962,2.292228233,Ctenophorus_maculatus,Ctenophorus_maculatus
Ctenophorus_mckenziei,5,7,0.999209749,0.190595567,-0.578781061,-0.320580626,0.049676278,-1.178807557,-1.221043564,-0.231730128,-0.331155275,2.451306588,-0.308383228,-0.276677828,-0.243346909,0.303248044,0.4144539,0.651621053,0.139910865,-0.50951587,2.572573933,Ctenophorus_mckenziei,Ctenophorus_mckenziei
Ctenophorus_pictus,5,7,1.000209453,0.388312272,-0.566041542,-0.306321014,0.161784623,-1.336535492,-1.209168896,-0.19870249,-0.412938185,2.301050668,-0.270389005,-0.209983835,-0.182803904,0.182430517,0.320898619,0.568552663,0.112929267,-0.343283719,2.435147781,Ctenophorus_pictus,Ctenophorus_pictus
Ctenophorus_rubens,5,7,0.975415304,0.141779556,-0.555667431,-0.365206725,0.069388615,-1.428346601,-1.22793457,-0.242604402,-0.457255219,2.40375223,-0.177617807,-0.189498324,-0.223236463,0.30520797,0.489224283,0.737817336,0.080461174,-0.335678926,2.685386126,Ctenophorus_rubens,Ctenophorus_rubens
Ctenophorus_rufescens,5,7,0.980642107,0.389167435,-0.726908771,-0.507434949,0.083614362,-1.497833653,-1.268375241,-0.390212294,-0.528667169,2.416449241,-0.110408709,-0.193421926,-0.058395335,0.351618276,0.534858909,0.773732296,0.169830479,-0.418255056,2.578508241,Ctenophorus_rufescens,Ctenophorus_rufescens
Ctenophorus_spinodomus,5,7,0.996316491,0.358329347,-0.589401605,-0.37770093,0.053137447,-1.304025191,-1.240274796,-0.267526728,-0.459131178,2.47326522,-0.208217953,-0.293188513,-0.07065677,0.22586009,0.401232066,0.752035902,-0.007036663,-0.443016237,2.171125679,Ctenophorus_spinodomus,Ctenophorus_spinodomus
Ctenophorus_tjakalpa,5,7,0.991898041,0.222048448,-0.552253633,-0.401855788,0.035131103,-1.390102604,-1.225704564,-0.338192796,-0.412020067,2.589588815,-0.177079964,-0.251211833,-0.092530972,0.247361045,0.449600774,0.770345733,0.075993297,-0.541015034,2.262441449,Ctenophorus_tjakalpa,Ctenophorus_tjakalpa
Ctenophorus_tuniluki,5,7,0.888862133,0.343298099,-0.642816414,-0.254961824,0.111981706,-1.471991868,-1.147840116,-0.078580039,-0.477682453,2.375111592,-0.285892125,-0.316009547,-0.04510411,0.128261135,0.438185356,0.808639715,0.028905876,-0.402367116,2.031607656,Ctenophorus_tuniluki,Ctenophorus_tuniluki
Diporiphora_sobria,5,7,0.880336608,0.09962372,-0.671094138,-0.373044981,0.094596641,-1.281476823,-1.11566325,-0.228130601,-0.437583502,2.563087053,-0.144224504,-0.174711623,-0.15113982,0.217213873,0.325656055,0.657612617,0.026627807,-0.287685132,2.462436853,Diporiphora_sobria,Diporiphora_sobria
Diporiphora_valens,1,7,1.012105806,0.11017285,-0.5639298,-0.387916206,0.009741793,-1.331419501,-1.228525078,-0.261400417,-0.301331041,2.698204075,-0.211953376,-0.173052282,-0.064448771,0.123676142,0.26279641,0.594709132,0.087783855,-0.37521359,2.444920403,Diporiphora_valens,Diporiphora_valens
Ctenophorus_nuchalis,2,8,1.241190763,0.507919889,-0.520449075,-0.26647806,0.314939157,-1.41864183,-1.231558956,-0.115598029,-0.260306666,2.098410916,-0.275326617,-0.164910443,-0.135032174,0.114726882,0.214771619,0.286174767,0.05128279,-0.441114934,2.90553539,Ctenophorus_nuchalis,Ctenophorus_nuchalis
Ctenophorus_reticulatus,2,8,1.149328753,0.478491925,-0.522047061,-0.243046178,0.327433067,-1.459504382,-1.212538198,-0.162384563,-0.234531226,2.165402322,-0.243549323,-0.279674681,-0.168201915,0.122393064,0.236095651,0.350480743,0.086322706,-0.390470703,2.827295271,Ctenophorus_reticulatus,Ctenophorus_reticulatus
Pogona_barbata,2,8,1.070246823,0.638383596,-0.533312494,-0.282990326,0.374072289,-1.418407901,-1.301185786,-0.058226592,-0.444133974,2.054422459,-0.162251788,-0.165541941,-0.082098542,0.064293894,0.101643133,0.262998504,0.1018008,-0.219712154,3.354988955,Pogona_barbata,Pogona_barbata
Pogona_henrylawsoni,2,8,1.12172348,0.562071259,-0.47066446,-0.270710354,0.341538426,-1.46012686,-1.158097339,0.024276353,-0.429957085,1.834781865,-0.098212058,-0.115638439,-0.113631414,0.158135203,0.093851297,0.24689575,0.102368891,-0.368604514,3.106860557,Pogona_henrylawsoni,Pogona_henrylawsoni
Pogona_microlepidota,2,8,1.008624552,0.724142704,-0.64899838,-0.425201685,0.224199177,-1.257617604,-1.253622925,-0.11379005,-0.410510365,2.366500934,-0.130074961,-0.133103955,-0.20612909,0.227830593,0.199336018,0.304556664,-0.038089298,-0.438052329,3.271853735,Pogona_microlepidota,Pogona_microlepidota
Pogona_minor_minor,2,8,1.15289084,0.642684161,-0.639869272,-0.302049464,0.302285457,-1.187896292,-1.198841675,-0.116536379,-0.491784682,2.19784329,-0.173555221,-0.162136721,-0.124363542,0.080924239,0.061822534,0.259924575,-0.033785478,-0.267556371,3.095461534,Pogona_minor_minor,Pogona_minor_minor
Pogona_minor_mitchelli,2,8,1.090271314,0.555247228,-0.690404919,-0.279610018,0.484775573,-1.244400258,-1.248331253,0.032237829,-0.394055606,2.219863332,-0.2738129,-0.130216721,-0.146223985,0.076483362,0.047085105,0.182262638,-0.086548994,-0.194621727,3.278670081,Pogona_minor_mitchelli,Pogona_minor_mitchelli
Pogona_nullarbor,2,8,1.104275369,0.584408739,-0.55739686,-0.249153978,0.267668665,-1.300911379,-1.273733486,-0.112732031,-0.347521459,2.051926223,-0.173586277,-0.156033481,-0.116017401,0.070420109,0.17123678,0.252304603,0.058662378,-0.273816516,3.060061565,Pogona_nullarbor,Pogona_nullarbor
Pogona_vitticeps,2,8,1.175797886,0.708662644,-0.541674753,-0.317437708,0.512949825,-1.33002271,-1.309477101,-0.053897171,-0.310033493,2.015289602,-0.154148583,-0.17943545,-0.217666554,0.107937168,0.069273403,0.182177775,-0.097578232,-0.260716548,3.447482319,Pogona_vitticeps,Pogona_vitticeps
Diporiphora_adductus,1,9,1.1165696,0.300906711,-0.552716281,-0.416122746,-0.110702255,-1.208499215,-1.172480916,-0.303848913,-0.691336743,2.765920655,-0.112607276,-0.126045021,-0.060592368,0.099855631,0.247629826,0.600630919,0.127445086,-0.504006694,2.329362113,Diporiphora_adductus,Diporiphora_adductus
Diporiphora_albilabris,1,9,0.850097027,0.176452994,-0.71706655,-0.268298932,0.181603927,-1.183140505,-1.146026099,-0.096126458,-0.512365622,2.339379423,-0.160556466,-0.189620599,-0.092065264,0.105185279,0.254698527,0.533891951,0.146894191,-0.222936824,2.316959049,Diporiphora_albilabris,Diporiphora_albilabris
Diporiphora_australis,1,9,0.973273414,0.05294169,-0.648920143,-0.253473445,0.104722934,-1.128156636,-1.157438681,-0.092330707,-0.587052033,2.62873366,-0.195047008,-0.221571271,-0.097149994,0.186902311,0.24300615,0.517825583,0.054025701,-0.380291526,2.573898456,Diporiphora_australis,Diporiphora_australis
Diporiphora_bilineata,1,9,0.995900101,0.001214255,-0.675895927,-0.397346338,0.11026311,-1.264592096,-1.097398034,-0.123230645,-0.554304217,2.605622684,-0.140525521,-0.162346743,-0.13993433,0.145306822,0.242211336,0.584056145,0.094726566,-0.223727166,2.275283504,Diporiphora_bilineata,Diporiphora_bilineata
Diporiphora_carpentariensis,1,9,0.974166837,0.189158682,-0.663801672,-0.344252272,0.086627979,-1.282521911,-1.120583581,-0.186954607,-0.665589781,2.67488976,-0.163933585,-0.206269413,-0.096621888,0.21564159,0.280932839,0.609985462,0.015856096,-0.316730535,2.386121741,Diporiphora_carpentariensis,Diporiphora_carpentariensis
Diporiphora_gracilis,1,9,1.004027609,-0.040712151,-0.590332994,-0.487774057,0.058584201,-1.200489012,-1.085237455,-0.231253656,-0.785884162,2.770819219,-0.150547135,-0.206572125,0.007308803,0.143922412,0.280026204,0.636919108,0.1770848,-0.29988961,2.224138263,Diporiphora_gracilis,Diporiphora_gracilis
Diporiphora_granulifera,1,9,1.026440735,0.098651737,-0.754616291,-0.371351892,0.098141402,-1.25881059,-1.111006131,-0.143809865,-0.654779987,2.685085032,-0.163729535,-0.221994021,-0.031774666,0.168913644,0.238561553,0.645454987,0.047537445,-0.296913557,2.366052206,Diporiphora_granulifera,Diporiphora_granulifera
