"Genus_species","Snout_Vent","Interlimb","Snout_Axilla","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Head_Length","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus_maculatus",53.3366666666667,26.72,23.4366666666667,11.08,5.40666666666667,6.73666666666667,10.3433333333333,2.40666666666667,3.21333333333333,7.35333333333333,12.03,6.00333333333333,138,8.41666666666667,7.38333333333333,8.8,12.7433333333333,15.33,20.22,11.4066666666667,6.41
"Ctenophorus_maculosus",60.2233333333333,30.05,25.8866666666667,15.6566666666667,6.71666666666667,8.05333333333333,15.0133333333333,2.37333333333333,3.83,10.6966666666667,15.1233333333333,7.24,85.3333333333333,10.42,9.85333333333333,10.84,13.6166666666667,14.57,17.2233333333333,10.7633333333333,8.92
"Ctenophorus_mckenziei",71.85,35.58,30.83,15.85,7.34333333333333,9.50666666666667,13.7666666666667,4.03,3.86333333333333,10.39,15.7633333333333,9.40666666666667,152,9.62333333333333,9.93333333333333,10.27,17.74,19.8266666666667,25.1333333333333,15.0666666666667,7.87
"Ctenophorus_mirrityana",82.2725,39.9275,39.2075,23.8075,9.26,10.57,20.97,4.345,5.245,12.4775,21.22,9.6,166.25,13.1025,12.185,14.2825,21.53,22.9,29.175,17.9875,11.63
"Ctenophorus_nguyarna",68.3,36.5875,28.14,20.77,8.6125,8.3825,15.2675,2.7425,4.125,10.5875,15.7525,8.515,117.75,10.5275,10.9,11.315,15.125,16.48,21.4625,12.3875,8.885
"Ctenophorus_nuchalis",110.203333333333,63.2266666666667,40.75,30.37,10.86,14,25.04,4.42333333333333,5.33333333333333,16.28,21.5133333333333,14.0866666666667,149,13.8766666666667,15.4966666666667,15.9666666666667,20.4966666666667,22.6533333333333,24.33,19.2366666666667,11.7566666666667
"Ctenophorus_ornatus",82.18,41.65,36.635,23.005,8.75,8.185,18.07,3.415,4.43,9.0475,18.3825,11.0725,152.75,13.0625,11.7975,14.0525,20.86,22.7475,29.11,18.2525,10.5375
"Ctenophorus_parviceps",45.8725,23.9625,18.68,13.4825,5.4375,5.555,10.0975,2.03,2.5975,6.9925,9.99,5.7675,63.25,7.045,6.2725,7.0575,9.4325,10.9275,14.705,8.69,5.3625
"Ctenophorus_pictus",60.9375,31.0425,27.29,16.835,6.4825,8.405,13.4225,3,3.4075,9.36,14.5075,7.555,114,8.7125,9.255,9.51,13.7025,15.7375,20.16,12.7825,8.1
"Ctenophorus_reticulatus",96.15,53.3366666666667,38.8133333333333,27.27,10.0266666666667,13.2533333333333,23.4466666666667,3.92666666666667,5.02666666666667,14.3666666666667,20.39,13.3666666666667,147.333333333333,13.2466666666667,12.7766666666667,14.2833333333333,19.1,21.4,23.9933333333333,18.4233333333333,11.4366666666667
"Ctenophorus_rubens",77.115,38.8925,34.185,16.8975,8.4125,10.1775,15.7175,3.515,4.295,11.505,18.2925,9.2825,162.25,12.2775,12.1325,11.73,19.8975,23.9175,30.6675,15.8925,10.4825
"Ctenophorus_rufescens",70.1433333333333,35.1333333333333,30.9433333333333,19.4466666666667,6.37,7.93333333333333,14.3266666666667,2.94666666666667,3.70666666666667,8.92,15.3266666666667,7.76666666666667,147.666666666667,11.8,10.86,12.43,18.73,22.4966666666667,28.5666666666667,15.6166666666667,8.67333333333333
"Ctenophorus_salinarum",70.23,35.5775,31.22,18.3625,6.9825,8.72,16.38,3.2725,3.7375,11.3725,17.5,7.9,118.75,10.6775,10.535,11.4025,15.325,17.435,21.2225,13.72,10.49
"Ctenophorus_scutulatus",110.03,57.265,45.27,23.84,10.62,15.2675,20.495,4.1375,5.0875,14.6025,23.1725,14.855,266.5,15.91,14.9375,15.825,26.175,29.5925,38.7475,22.0975,13.9475
"Ctenophorus_slateri",81.206,42.772,34.9,23.978,8.656,12.238,21.89,3.506,4.342,15.76,20.482,10.486,181,13.916,13.826,14.458,23.446,25.896,31.9,14.418,12.634
"Ctenophorus_spinodomus",47.2733333333333,23.7466666666667,19.2533333333333,12.5466666666667,4.86333333333333,6.01,9.24666666666667,2.38,2.53666666666667,6.71,10.5466666666667,5.54,104,7.12,6.54,8.17,10.99,13.0966666666667,18.6,8.70666666666667,5.63
"Ctenophorus_tjakalpa",50.0125,25.9025,21.17,11.995,5.53,6.4275,9.95,2.3925,2.82,6.85,10.805,6.3625,128,8.0475,7.4725,8.7575,12.3025,15.06,20.755,10.365,5.5925
"Ctenophorus_tuniluki",37.71,18.55,17.12,10.75,4.01,5.91,8.53,1.75,2.42,7.05,9.27,4.73,82,5.73,5.56,7.29,8.67,11.82,17.12,7.85,5.1
"Ctenophorus_vadnappa",74.8425,37.91,33.54,21.4575,8.0175,10.5225,19.055,3.595,4.6525,12.265,19.5,8.0225,160.75,12.3225,11.5,13.9075,20.04,22.645,30.44,14.04,11.2525
"Ctenophorus_yinnietharra",81.2025,43.185,35.335,25.2175,8.345,9.1675,18.1075,3.52,3.8725,10.4075,17.8325,11.355,156.5,13.095,11.8025,13.06,21.335,23.3275,29.1025,17.5025,10.44
"Diporiphora_adductus",60.805,31.3725,24.12,13.8775,5.91,6.775,9.195,3.0675,3.18,7.58,12.4525,5.145,163.25,9.1775,9.055,9.6675,11.35,13.1575,18.7275,11.6675,6.205
"Diporiphora_albilabris",53.25,23.7375,26.2,12.1025,4.9525,7.7575,12.165,3.1075,3.225,9.215,14.45,6.0775,105.25,8.64,8.3925,9.2525,11.27,13.0875,17.3025,11.75,8.1175
"Diporiphora_amphiboluroides",91.065,46.785,40.33,21.6575,8.66,11.005,18.1925,5.63,4.915,13.9175,23.3025,9.4875,159.25,13.61,13.9425,13.4275,17.2425,18.86,21.835,17.0275,12.7575
"Diporiphora_australis",70.25,34.715,31.18,13.83,6.855,10.18,14.565,4.245,4.1225,11.96,17.335,7.2925,181.75,10.7925,10.51,11.9025,15.8125,16.725,22.015,13.845,8.9675
"Diporiphora_bennettii",49.34,22.8375,22.7675,13.3675,4.9925,6.5425,11.4775,2.9125,2.9875,8.5,13.48,4.77,73,7.82,8.0175,7.84,10.2175,11.105,14.375,9.2875,7.58
"Diporiphora_bilineata",54.55,26.3425,24.4725,9.7425,4.95,6.54,10.865,2.7475,3.2475,8.6025,13.775,5.59,131.75,8.455,8.2725,8.46,11.2525,12.3975,17.45,10.6975,7.78
"Diporiphora_carpentariensis",58.0425,28.7975,25.525,13.135,5.5975,7.705,11.855,3.015,3.545,9.0175,14.48,5.5875,157.75,9.2275,8.845,9.87,13.4875,14.3975,20.0075,11.045,7.92
"Diporiphora_convergens",33.07,15.87,15.37,8.2,4.05,3.62,7.81,2.04,2.21,4.96,8.95,3.54,71,5.72,5.35,5.23,8.31,9.28,14.7,6.42,4.7
"Diporiphora_gracilis",51.5733333333333,25.2333333333333,23.7933333333333,8.87666666666667,5.12333333333333,5.67666666666667,9.80333333333333,2.78333333333333,3.12333333333333,7.33666666666667,12.7566666666667,4.21333333333333,147.666666666667,7.95333333333333,7.52,9.31333333333333,10.6766666666667,12.2333333333333,17.48,11.0366666666667,6.85
