ID,gCF,gCF_N,gDF1,gDF1_N,gDF2,gDF2_N,gDFP,gDFP_N,gN,treeDF1,treeDF2,Label,Length
21,100,NA,0,NA,0,NA,0,NA,NA,"(Agamidae_Gonocephalus_abbotti_FMNH230175:1.000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.0686810000):0.3388510000):0.9518380000):1.748963500,(Agamidae_Laudakia_melanura_MVZHerp248402:1.000000000,__root__:0.000000000));","(Agamidae_Gonocephalus_abbotti_FMNH230175:1.000000000,__root__:0.000000000,(Agamidae_Laudakia_melanura_MVZHerp248402:1.000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.0686810000):0.3388510000):0.9518380000):1.748963500));",,1.74896
22,100,NA,0,NA,0,NA,0,NA,NA,"(Agamidae_Physignathus_cocincinus_MVZ226496:1.000000000,(Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.748963500,((Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.0686810000):0.3388510000):0.951838000,__root__:0.000000000));","(Agamidae_Physignathus_cocincinus_MVZ226496:1.000000000,__root__:0.000000000,((Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.0686810000):0.3388510000):0.951838000,(Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.748963500));",,1.74896
23,74.1,269,5.51,20,5.51,20,14.88,54,363,"(Agamidae_Hypsilurus_magnus_AMSR122474:1.000000000,Agamidae_Physignathus_cocincinus_MVZ226496:1.000000000,(((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.0686810000):0.338851000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.000000000));","(Agamidae_Hypsilurus_magnus_AMSR122474:1.000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.000000000,(((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.0686810000):0.338851000,Agamidae_Physignathus_cocincinus_MVZ226496:1.000000000));",,0.951838
24,33.05,118,9.52,34,8.4,30,49.02,175,357,"((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.612076000,Agamidae_Hypsilurus_magnus_AMSR122474:1.000000000,((Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.068681000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.951838000));","((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.612076000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.951838000,((Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.068681000,Agamidae_Hypsilurus_magnus_AMSR122474:1.000000000));",,0.338851
25,69.85,234,1.49,5,3.88,13,24.78,83,335,"(Agamidae_Moloch_horridus_UMMZ244221:1.000000000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.068681000,(Agamidae_Chelosania_brunnea_WAMR163197_2:1.000000000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.338851000));","(Agamidae_Moloch_horridus_UMMZ244221:1.000000000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.338851000,(Agamidae_Chelosania_brunnea_WAMR163197_2:1.000000000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.2826650000):0.068681000));",,0.612076
26,14.25,51,11.17,40,11.45,41,63.13,226,358,"(Agamidae_Lophosaurus_dilophus_AMSR122449:1.000000000,(Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.612076000,((Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.282665000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.338851000));","(Agamidae_Lophosaurus_dilophus_AMSR122449:1.000000000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.338851000,((Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.5156640000):0.282665000,(Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.612076000));",,0.068681
27,36.89,135,8.74,32,9.84,36,44.54,163,366,"(Agamidae_Intellagama_lesueurii_ABTC32057:1.000000000,Agamidae_Lophosaurus_dilophus_AMSR122449:1.000000000,(((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.515664000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.3388510000):0.068681000));","(Agamidae_Intellagama_lesueurii_ABTC32057:1.000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.3388510000):0.068681000,(((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.3244050000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.5142820000):1.515664000,Agamidae_Lophosaurus_dilophus_AMSR122449:1.000000000));",,0.282665
28,86.03,314,0.82,3,1.64,6,11.51,42,365,"((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.324405000,Agamidae_Intellagama_lesueurii_ABTC32057:1.000000000,(((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.514282000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.3388510000):0.0686810000):0.282665000));","((Agamidae_Ctenophorus_modestus_SAMAR60922:1.0000000000,Agamidae_Cryptagama_aurita_TR1107:1.0000000000):2.324405000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.3388510000):0.0686810000):0.282665000,(((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.514282000,Agamidae_Intellagama_lesueurii_ABTC32057:1.000000000));",,1.51566
29,95.54,343,1.39,5,0.56,2,2.51,9,359,"(Agamidae_Ctenophorus_modestus_SAMAR60922:1.000000000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.514282000,(Agamidae_Cryptagama_aurita_TR1107:1.000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.3388510000):0.0686810000):0.2826650000):1.515664000));","(Agamidae_Ctenophorus_modestus_SAMAR60922:1.000000000,(Agamidae_Intellagama_lesueurii_ABTC32057:1.0000000000,(Agamidae_Lophosaurus_dilophus_AMSR122449:1.0000000000,((Agamidae_Moloch_horridus_UMMZ244221:1.0000000000,Agamidae_Chelosania_brunnea_WAMR163197_2:1.0000000000):0.6120760000,(Agamidae_Hypsilurus_magnus_AMSR122474:1.0000000000,(Agamidae_Physignathus_cocincinus_MVZ226496:1.0000000000,((Agamidae_Gonocephalus_abbotti_FMNH230175:1.0000000000,Agamidae_Laudakia_melanura_MVZHerp248402:1.0000000000):1.7489635000):0.0000000000):0.9518380000):0.3388510000):0.0686810000):0.2826650000):1.515664000,(Agamidae_Cryptagama_aurita_TR1107:1.000000000,((Agamidae_Chlamydosaurus_kingii_UMMZ236528:1.0000000000,(Agamidae_Lophognathus_gilberti_CCM6449:1.0000000000,Agamidae_Amphibolurus_muricatus_AMSR.156047:2.0000000000):0.1434400000):2.7450250000,(Agamidae_Gowidon_longirostris_UMFS20601:1.0000000000,(Agamidae_Tropicagama_temporalis_WAMR112261:1.0000000000,((Agamidae_Pogona_minor.minor_WAMR131084:1.0000000000,Agamidae_Rankinia_diemensis_NMVD74165:1.0000000000):0.3267010000,(Agamidae_Tympanocryptis_fortescuensis_WAMR158076:1.0000000000,Agamidae_Diporiphora_winneckei_CUMV14268:1.0000000000):0.1105110000):0.2571060000):0.1013310000):0.1858010000):1.514282000));",,2.32441
