"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus caudicinctus",38.22,19.85,8.75,12.49,20.89,2.96,4.48,15.27,10.37,198,13.45,12.81,13.01,22.93,23.95,30.77,18.76,14.07
"Ctenophorus caudicinctus",37.58,16.47,6.53,10.33,17.62,3.66,4.48,12.28,7.44,177,12.9,12.77,12.36,19.31,22.91,26.38,16.19,11.75
"Ctenophorus caudicinctus",37.68,17.77,8.41,12.32,18.84,2.85,4.22,12.89,8.81,170,14.08,12.95,13.32,20.7,23.04,29.79,15.36,11.84
"Ctenophorus chapmani",22.96,14.61,6.06,6.21,11.28,2.29,2.68,7.4,6.55,69,7.95,8.3,8.29,9.48,11.26,14.42,8.97,7.15
"Ctenophorus chapmani",21.35,12.52,4.79,5.82,11.2,2.89,2.83,7.26,6.26,62,7.73,6.57,7.22,8.22,10.15,11.4,9.54,6.19
"Ctenophorus chapmani",25.43,12.53,6.01,6.32,11.89,2.24,3.67,7.86,7.24,70,8.74,7.27,6.95,10.74,10.24,14.08,9.48,5.61
"Ctenophorus chapmani",19.28,11.39,5.29,5.79,11.07,2.74,2.61,6.91,6.01,57,7.64,6.98,6.64,10.93,10.16,11.53,8.83,6.17
"Ctenophorus clayi",29.44,15.64,6.42,7.61,11.46,2.76,3.4,10.41,5.68,83,7.67,7.85,7.42,10.19,12.94,15.21,12.14,6.3
"Ctenophorus clayi",20.71,12.64,4.6,5.98,10.78,2.26,2.54,8.96,4.82,61,7.27,6.8,7.87,9.86,10.33,13.09,8.72,6.7
"Ctenophorus clayi",23.2,14.09,4.46,6.45,11.13,2.44,2.85,9.37,4.94,63,7.58,7.37,6.83,9.59,11.46,13.13,8.66,7.25
"Ctenophorus clayi",25.29,14.34,4.99,6.1,11.26,1.89,2.71,9.27,4.79,61,7.93,7.18,7.43,10.07,10.75,13.33,10.41,7.45
"Ctenophorus clayi",25.05,14.33,6.57,7.09,11.58,2.1,3.19,9.76,5.62,76,7.41,7.51,7.75,10,11.63,13.14,9.42,7.36
"Ctenophorus cristatus",53.16,23.65,10.23,15.98,21.81,5.16,6.08,15.02,15.24,266,17.3,17.1,16.94,30.47,33.11,43.93,24.85,12.36
"Ctenophorus cristatus",48.84,22.2,10.33,13.64,19.83,4.13,5.13,15.31,13.29,229,15.6,14.56,15.27,28.21,31.63,39.89,21.33,14.45
"Ctenophorus cristatus",50.51,22.53,11.53,13.66,19.67,4.09,5.77,14.32,12.81,181,17.53,13.56,17.59,29.97,32.9,44.99,24.88,12.48
"Ctenophorus cristatus",51.93,21.61,12.39,15.44,21.15,3.93,5.32,14.75,14.66,242,15.62,16.2,17.49,30.42,34.07,44.02,22.41,13.77
"Ctenophorus decresii",39.21,21.06,9.12,9.82,20.82,3.85,4.33,10.98,10.06,151,12.75,12.73,14.4,20.6,23.25,28.01,16.45,13.15
"Ctenophorus decresii",40.05,25.32,8.98,9.06,17.45,3.38,4.13,10.49,7.44,144,10.7,9.99,14.06,17.91,19.48,25.34,11.16,11.76
"Ctenophorus decresii",44,24.76,9.09,9.68,17.13,3.45,4.05,10.04,8.52,175,10.69,11.42,13.04,18.01,19.64,25.05,14.02,11.12
"Ctenophorus dualis",33.97,20.7,7.55,10.27,14.43,3.52,4.19,9.82,8.81,143,8.95,9.24,10,15.49,17.75,22.46,11.41,7.92
"Ctenophorus dualis",36.62,23.34,8.57,9.46,13.79,3.06,3.44,10.37,8.53,160,9.18,9.29,10.3,14.92,17.49,23.76,13.19,9.54
"Ctenophorus dualis",34.39,19.08,6.75,9.19,12.79,2.75,3.6,8.34,7.91,138,10.53,11.54,11.04,15.61,19.76,26.01,14.5,7.94
"Ctenophorus dualis",28.4,15.31,6.03,8.01,12.1,2.65,2.87,7.87,7.36,135,9.68,9.15,10.34,13.57,17.01,24.7,10.64,7.78
"Ctenophorus femoralis",29.34,14.02,6.41,5.58,10.52,2.09,3.46,6.72,7.25,150,8.84,7.73,7.96,14.48,16.95,22.65,10.71,6.59
"Ctenophorus femoralis",27.3,12.19,5.15,6.24,10.1,2.46,2.84,6.48,6.35,153,9.27,8.2,9.17,14.8,17.45,24.87,9.68,6.06
"Ctenophorus femoralis",28.98,12.16,5.52,6.43,10,2.55,3.18,6.56,6.25,138,8.44,8.5,9.19,15,16.57,23.69,9.64,5.6
"Ctenophorus femoralis",25.56,11.96,5.38,5.43,9.51,2.01,2.8,6.89,5.73,131,8.55,7.12,7.64,13.2,16.31,22.41,8.92,5.54
"Ctenophorus fionni",41.26,25.42,9.22,10.38,22.95,3.23,4.03,12.13,10.65,147,9.88,10.96,13.19,19.69,21.96,26.95,13.09,13.17
