lineage,AHE,gene,uce,total_loci,filename,Targets,Source,Order,HigherOrder,Family,Subfamily,Genus,Species,RegNo
Agamidae_Bronchocela_smaragdina_FMNH262309,355,35,4735,5125,Agamidae_Bronchocela_smaragdina_FMNH262309.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Bronchocela,smaragdina,FMNH262309
Agamidae_Calotes_emma_CAS230941,27,27,4425,4479,Agamidae_Calotes_emma_CAS230941.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Calotes,emma,CAS230941
Agamidae_Calotes_emma_CTMZ04032,348,0,2,350,Agamidae_Calotes_emma_CTMZ04032.fasta,AHE,Burbrink et al. 2021 (AHE_T212),Squamata,Iguania,Agamidae,Draconinae,Calotes,emma,CTMZ04032
Agamidae_Calotes_mystaceus_dsm869,15,0,3758,3773,Agamidae_Calotes_mystaceus_dsm869.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Calotes,mystaceus,dsm869
Agamidae_Calotes_versicolor_lsuhc10327,16,0,4093,4109,Agamidae_Calotes_versicolor_lsuhc10327.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Calotes,versicolor,lsuhc10327
Agamidae_Calotes_versicolor_SAMN07676179,360,36,3848,4244,Agamidae_Calotes_versicolor_SAMN07676179.fasta,SqCL,NCBI,Squamata,Iguania,Agamidae,Draconinae,Calotes,versicolor,SAMN07676179
Agamidae_Ceratophora_aspera_AF128491,15,0,3303,3318,Agamidae_Ceratophora_aspera_AF128491.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Ceratophora,aspera,AF128491
Agamidae_Cophotis_ceylanica_AF128493,15,0,3739,3754,Agamidae_Cophotis_ceylanica_AF128493.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Cophotis,ceylanica,AF128493
Agamidae_Cristidorsa_planidorsata_CAS219935,358,34,4778,5170,Agamidae_Cristidorsa_planidorsata_CAS219935.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Cristidorsa,planidorsata,CAS219935
Agamidae_Diploderma_yunnanense_CAS242183,360,34,4806,5200,Agamidae_Diploderma_yunnanense_CAS242183.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Diploderma,yunnanense,CAS242183
Agamidae_Draco_blanfordii_lsuhc9427,15,0,3838,3853,Agamidae_Draco_blanfordii_lsuhc9427.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Draco,blanfordii,lsuhc9427
Agamidae_Draco_maculatus_kufs320,15,0,3906,3921,Agamidae_Draco_maculatus_kufs320.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Draco,maculatus,kufs320
Agamidae_Draco_spilopterus_elr1338,13,0,3896,3909,Agamidae_Draco_spilopterus_elr1338.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Draco,spilopterus,elr1338
Agamidae_Draco_walkeri_MVZHerp239464,342,32,4691,5065,Agamidae_Draco_walkeri_MVZHerp239464.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Draco,walkeri,MVZHerp239464
Agamidae_Gonocephalus_abbotti_FMNH230175,368,34,4806,5208,Agamidae_Gonocephalus_abbotti_FMNH230175.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Gonocephalus,abbotti,FMNH230175
Agamidae_Gonocephalus_doriae_FMNH230175,368,34,4790,5192,Agamidae_Gonocephalus_doriae_FMNH230175.fasta,SqCL,Singhal et al. 2021,Squamata,Iguania,Agamidae,Draconinae,Gonocephalus,doriae,FMNH230175
Agamidae_Gonocephalus_interruptus_KU314925,341,0,1,342,Agamidae_Gonocephalus_interruptus_KU314925.fasta,AHE,Burbrink et al. 2021 (AHE_T212),Squamata,Iguania,Agamidae,Draconinae,Gonocephalus,interruptus,KU314925
Agamidae_Gonocephalus_interruptus_rmb9384,15,0,4041,4056,Agamidae_Gonocephalus_interruptus_rmb9384.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Gonocephalus,interruptus,rmb9384
Agamidae_Gonocephalus_sophiae_rmb8061,14,0,3975,3989,Agamidae_Gonocephalus_sophiae_rmb8061.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Gonocephalus,sophiae,rmb8061
Agamidae_Lyriocephalus_scutatus_AF128494,16,0,3586,3602,Agamidae_Lyriocephalus_scutatus_AF128494.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Lyriocephalus,scutatus,AF128494
Agamidae_Mantheyus_phuwuanensis_fmnh262580,15,0,4072,4087,Agamidae_Mantheyus_phuwuanensis_fmnh262580.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Mantheyus,phuwuanensis,fmnh262580
Agamidae_Pseudocalotes_kingdonwardi_CAS241965,364,33,4786,5183,Agamidae_Pseudocalotes_kingdonwardi_CAS241965.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Pseudocalotes,kingdonwardi,CAS241965
Agamidae_Pseudocalotes_larutensis_lsuhc10285,15,0,3842,3857,Agamidae_Pseudocalotes_larutensis_lsuhc10285.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Pseudocalotes,larutensis,lsuhc10285
Agamidae_Pseudocalotes_microlepis_FMNH258710,357,32,4843,5232,Agamidae_Pseudocalotes_microlepis_FMNH258710.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Pseudocalotes,microlepis,FMNH258710
Agamidae_Ptyctolaemus_collicristatus_cas220561,17,0,3882,3899,Agamidae_Ptyctolaemus_collicristatus_cas220561.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Ptyctolaemus,collicristatus,cas220561
Agamidae_Ptyctolaemus_gularis_cas221296,15,0,4041,4056,Agamidae_Ptyctolaemus_gularis_cas221296.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Ptyctolaemus,gularis,cas221296
Agamidae_Salea_horsfieldii_AF128491,16,0,3979,3995,Agamidae_Salea_horsfieldii_AF128491.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Salea,horsfieldii,AF128491
Agamidae_Leiolepis_belliana_CAS210725,42,28,4456,4526,Agamidae_Leiolepis_belliana_CAS210725.fasta,SqCL,Singhal et al. 2021,Squamata,Iguania,Agamidae,Leiolepinae,Leiolepis,belliana,CAS210725
Agamidae_Leiolepis_belliana_LSUHC6842,350,0,1,351,Agamidae_Leiolepis_belliana_LSUHC6842.fasta,AHE,Burbrink et al. 2021 (AHE_T212),Squamata,Iguania,Agamidae,Leiolepinae,Leiolepis,belliana,LSUHC6842
Agamidae_Lophosaurus_dilophus_WAMR109630_2,365,35,4665,5065,Agamidae_Lophosaurus_dilophus_WAMR109630_2.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Lophosaurus,dilophus,WAMR109630
Agamidae_Tympanocryptis_osbornei_AA087670,365,34,4693,5092,Agamidae_Tympanocryptis_osbornei_AA087670.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,osbornei,AA087670
Agamidae_Tympanocryptis_osbornei_AA61541,360,34,4703,5097,Agamidae_Tympanocryptis_osbornei_AA61541.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,osbornei,AA61541
Agamidae_Uromastyx_sp_CTMZ12648,167,0,0,167,Agamidae_Uromastyx_sp_CTMZ12648.fasta,AHE,Burbrink et al. 2021 (AHE_T212),Squamata,Iguania,Agamidae,Uromastycinae,Uromastyx,sp,CTMZ12648
Teiidae_Salvator_merianae_SAMN09273531,388,41,5000,5429,Teiidae_Salvator_merianae_SAMN09273531.fasta,SqCL,NCBI,Squamata,Lacertoidea,Teiidae,NA,Salvator,merianae,SAMN09273531
Scincidae_Cryptoblepharus_egeriae_SAMN32772511,388,40,5003,5431,Scincidae_Cryptoblepharus_egeriae_SAMN32772511.fasta,SqCL,NCBI,Squamata,Scincoidea,Scincidae,Lygosominae_Eugongylini,Cryptoblepharus,egeriae,SAMN32772511
Elapidae_Hydrophis_elegans_SAMN35787919,385,39,4859,5283,Elapidae_Hydrophis_elegans_SAMN35787919.fasta,SqCL,NCBI,Squamata,Serpentes,Elapidae,NA,Hydrophis,elegans,SAMN35787919
Agamidae_Hydrosaurus_sp_JAM848,NA,NA,2718,2718,Agamidae_Hydrosaurus_sp_JAM848.fasta,UCE,Streicher_Iguania,Squamata,Iguania,Agamidae,Hydrosaurinae,Hydrosaurus,sp,JAM848
