lineage,AHE,gene,uce,total_loci,filename,Targets,Source,Order,HigherOrder,Family,Subfamily,Genus,Species,RegNo
Agamidae_Tympanocryptis_fictilis_SAMAR58134,365,36,4729,5130,Agamidae_Tympanocryptis_fictilis_SAMAR58134.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,fictilis,SAMAR58134
Agamidae_Tympanocryptis_fortescuensis_WAMR110291,360,33,4760,5153,Agamidae_Tympanocryptis_fortescuensis_WAMR110291.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,fortescuensis,WAMR110291
Agamidae_Tympanocryptis_fortescuensis_WAMR158076,367,35,4781,5183,Agamidae_Tympanocryptis_fortescuensis_WAMR158076.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,fortescuensis,WAMR158076
Agamidae_Tympanocryptis_gigas_WAMR175943,359,32,4631,5022,Agamidae_Tympanocryptis_gigas_WAMR175943.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,gigas,WAMR175943
Agamidae_Tympanocryptis_hobsoni_NMVZ33994,361,35,4745,5141,Agamidae_Tympanocryptis_hobsoni_NMVZ33994.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,hobsoni,NMVZ33994
Agamidae_Tympanocryptis_hobsoni_NMVZ34020,359,35,4736,5130,Agamidae_Tympanocryptis_hobsoni_NMVZ34020.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,hobsoni,NMVZ34020
Agamidae_Tympanocryptis_houstoni_SAMAR61480,348,29,4333,4710,Agamidae_Tympanocryptis_houstoni_SAMAR61480.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,houstoni,SAMAR61480
Agamidae_Tympanocryptis_intima_SAMAR42854,360,35,4755,5150,Agamidae_Tympanocryptis_intima_SAMAR42854.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,intima,SAMAR42854
Agamidae_Tympanocryptis_intima_SAMAR44954,281,16,1086,1383,Agamidae_Tympanocryptis_intima_SAMAR44954.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,intima,SAMAR44954
Agamidae_Tympanocryptis_intima_SAMAR46815,231,14,690,935,Agamidae_Tympanocryptis_intima_SAMAR46815.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,intima,SAMAR46815
Agamidae_Tympanocryptis_lineata_NMVZ75948,360,35,4654,5049,Agamidae_Tympanocryptis_lineata_NMVZ75948.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,lineata,NMVZ75948
Agamidae_Tympanocryptis_lineata_NMVZ75960,366,34,4740,5140,Agamidae_Tympanocryptis_lineata_NMVZ75960.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,lineata,NMVZ75960
Agamidae_Tympanocryptis_lineata_SAMAR38823,371,33,4698,5102,Agamidae_Tympanocryptis_lineata_SAMAR38823.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,lineata,SAMAR38823
Agamidae_Tympanocryptis_macra_NMVD72634,361,36,4740,5137,Agamidae_Tympanocryptis_macra_NMVD72634.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,macra,NMVD72634
